"License Number","Status","License Type","Orig. Iss. Date","Expir. Date","Primary Owner","Premises Addr.","Business Name","Geo Code"
"4","ACTIVE","18","03/01/1978","02/28/2027","PELLEGRINI BROS WINES INC","272 S MAPLE AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","","4114"
"4","ACTIVE","02","03/01/1978","06/30/2027","PELLEGRINI BROS WINES INC","272 S MAPLE AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","","4114"
"4","ACTIVE","12","03/01/1978","02/28/2027","PELLEGRINI BROS WINES INC","272 S MAPLE AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","","4114"
"4","ACTIVE","09","03/01/1978","02/28/2027","PELLEGRINI BROS WINES INC","272 S MAPLE AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","","4114"
"4","ACTIVE","17","03/01/1978","02/28/2027","PELLEGRINI BROS WINES INC","272 S MAPLE AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","","4114"
"142312","ACTIVE","15","11/01/1983","02/28/2027","C J SWIFT & CO INC","360 SWIFT AVE, STE 29,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","MCCLARY SWIFT & CO INC","4114"
"192015","ACTIVE","12","10/09/1986","10/31/2026","BARSAC INC","440 TALBERT ST,DALY CITY, CA  94014-1623Census Tract:  6002.00","ADVENTURES IN WINE","4105"
"192015","ACTIVE","09","10/09/1986","05/31/2027","BARSAC INC","440 TALBERT ST,DALY CITY, CA  94014-1623Census Tract:  6002.00","ADVENTURES IN WINE","4105"
"192015","ACTIVE","14","10/09/1986","01/31/2027","BARSAC INC","440 TALBERT ST,DALY CITY, CA  94014-1623Census Tract:  6002.00","ADVENTURES IN WINE","4105"
"192015","ACTIVE","18","10/09/1986","10/31/2026","BARSAC INC","440 TALBERT ST,DALY CITY, CA  94014-1623Census Tract:  6002.00","ADVENTURES IN WINE","4105"
"192015","ACTIVE","17","10/09/1986","05/31/2027","BARSAC INC","440 TALBERT ST,DALY CITY, CA  94014-1623Census Tract:  6002.00","ADVENTURES IN WINE","4105"
"287807","ACTIVE","17","11/18/1993","10/31/2026","ITALFOODS INC","205 SHAW RD,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6042.00","ITALFOODS INC","4114"
"287807","ACTIVE","09","11/18/1993","10/31/2026","ITALFOODS INC","205 SHAW RD,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6042.00","ITALFOODS INC","4114"
"315468","ACTIVE","15","03/06/1996","06/30/2027","DYNASTY CUSTOMS BROKER INC","1409 SAN MATEO AVE,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DYNASTY CUSTOMS BROKER INC","4114"
"333417","ACTIVE","18","01/16/1998","12/31/2026","HURCHANIK, CHRISTOPHER DONALD","244 S B ST,SAN MATEO, CA  94401Census Tract:  6063.00","CALMEX","4113"
"333417","ACTIVE","12","01/16/1998","12/31/2026","HURCHANIK, CHRISTOPHER DONALD","244 S B ST,SAN MATEO, CA  94401Census Tract:  6063.00","CALMEX","4113"
"358480","ACTIVE","13","02/10/2000","01/31/2027","ALLIED LOMAR INC","330 PRIMROSE RD, STE 512,BURLINGAME, CA  94010Census Tract:  6055.00","INTERNATIONAL BEVERAGE","4103"
"400447","ACTIVE","17","06/17/2003","04/30/2027","GOLDEN EAGLE TRADING CORPORATION","390 SWIFT AVE, STE 6,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","GOLDEN EAGLE CALIFORNIA COMPANY","4114"
"400447","ACTIVE","12","06/17/2003","04/30/2027","GOLDEN EAGLE TRADING CORPORATION","390 SWIFT AVE, STE 6,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","GOLDEN EAGLE CALIFORNIA COMPANY","4114"
"400447","ACTIVE","18","06/17/2003","04/30/2027","GOLDEN EAGLE TRADING CORPORATION","390 SWIFT AVE, STE 6,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","GOLDEN EAGLE CALIFORNIA COMPANY","4114"
"400447","ACTIVE","09","06/17/2003","04/30/2027","GOLDEN EAGLE TRADING CORPORATION","390 SWIFT AVE, STE 6,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","GOLDEN EAGLE CALIFORNIA COMPANY","4114"
"414318","ACTIVE","09","08/03/2004","12/31/2026","JVS WINES IMPORT INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTERNATIONAL INC","4114"
"414318","ACTIVE","17","08/03/2004","12/31/2026","JVS WINES IMPORT INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTERNATIONAL INC","4114"
"414318","ACTIVE","12","08/03/2004","12/31/2026","JVS WINES IMPORT INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTERNATIONAL INC","4114"
"414318","ACTIVE","18","08/03/2004","12/31/2026","JVS WINES IMPORT INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTERNATIONAL INC","4114"
"419256","ACTIVE","10","08/05/2005","07/31/2027","SINGHA NORTH AMERICA INC","303 TWIN DOLPHIN DR, STE 600,REDWOOD CITY, CA  94065-1497Census Tract:  6103.04","","4110"
"424104","ACTIVE","02","07/14/2005","06/30/2027","POST & TRELLIS INC","2645 FAIR OAKS AVE,REDWOOD CITY, CA  94063-3504Census Tract:  6105.00","LA HONDA WINERY","4100"
"439055","ACTIVE","14","08/11/2006","07/31/2027","GEORGIAN ROYAL COLLECTION INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTL INC","4114"
"439055","ACTIVE","18","08/11/2006","09/30/2026","GEORGIAN ROYAL COLLECTION INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTL INC","4114"
"439055","ACTIVE","17","08/11/2006","02/28/2027","GEORGIAN ROYAL COLLECTION INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTL INC","4114"
"439055","ACTIVE","09","08/11/2006","02/28/2027","GEORGIAN ROYAL COLLECTION INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTL INC","4114"
"439055","ACTIVE","12","08/11/2006","09/30/2026","GEORGIAN ROYAL COLLECTION INC","360 SWIFT AVE, SIDE B UNIT 9,SOUTH SAN FRANCISCO, CA  94080Census Tract:  6023.00","DIME GROUP INTL INC","4114"
"462557","ACTIVE","17","08/19/2009","07/31/2027","MOONRIDGE VINEYARD LLC","120 W SANTA INEZ AVE,HILLSBOROUGH, CA  94010-6859Census Tract:  6058.00","MOONRIDGE VINEYARD","4106"
