ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Polo's Dental Laboratory, LLC*|*5920085*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Nicole's Notary Services, LLC.*|*6182192*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Busse Manufacturing LLC*|*B20260056953*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*610 TRAYER AVE*|**|*GLENDORA*|*CA*|*United States*|*91741*|*610 TRAYER AVE*|**|**|*GLENDORA*|*CA*|*United States*|*91741*|**|**|**|**|**|**|*All LLC Member(s)*|*
Brilliant Day Consulting LLC*|*B20260116027*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*701 S WOODS AVE*|**|*FULLERTON*|*CA*|*United States*|*92832*|*701 S WOODS AVE*|**|**|*FULLERTON*|*CA*|*United States*|*92832*|**|**|**|**|**|**|*One Manager*|*
FEROCIOUS PLUMBING INC*|*B20260200247*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3360 SOUTHERN AVE*|**|*SOUTH GATE*|*CA*|*United States*|*90280*|*3360 SOUTHERN AVE*|**|**|*SOUTH GATE*|*CA*|*United States*|*90280*|**|**|**|**|**|**|**|*
Get Hired, Properly! LLC*|*B20260116314*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*701 S WOODS AVE*|**|*FULLERTON*|*CA*|*United States*|*92832*|*701 S WOODS AVE*|**|**|*FULLERTON*|*CA*|*United States*|*92832*|**|**|**|**|**|**|*One Manager*|*
Guardian Traffic Control LLC*|*B20260185536*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3755 WILDRYE DR*|**|*SAN BERNARDINO*|*CA*|*United States*|*92407*|*3755 WILDRYE DR*|**|**|*SAN BERNARDINO*|*CA*|*United States*|*92407*|**|**|**|**|**|**|*One Manager*|*
Prestley Trucking LLC*|*B20260192004*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*168 BEMIS ST*|**|*SAN FRANCISCO*|*CA*|*United States*|*94131*|*168 BEMIS ST*|**|**|*SAN FRANCISCO*|*CA*|*United States*|*94131*|**|**|**|**|**|**|*One Manager*|*
Steak and Grapes, LLC*|*B20260169239*|*07/19/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2909 MEADOW RIDGE AVENUE*|**|*BAKERSFIELD*|*CA*|*United States*|*93308*|*2909 MEADOW RIDGE AVENUE*|**|**|*BAKERSFIELD*|*CA*|*United States*|*93308*|**|**|**|**|**|**|*One Manager*|*
Affinia Therapeutics Inc.*|*B20260302520*|*07/13/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*43 FOUNDRY AVE*|*SUITE 120*|*WALTHAM*|*MA*|*United States*|*02453*|*43 FOUNDRY AVE*|*SUITE 120*|**|*WALTHAM*|*MA*|*United States*|*02453*|*5211 PACIFIC CONCOURSE DRIVE*|*APT 1148*|*LOS ANGELES*|*CA*|*United States*|*94045*|**|*
Aguillon Construction Inc*|*B20260296302*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9332 SHADE LN*|**|*PICO RIVERA*|*CA*|*United States*|*90660*|*9332 SHADE LN*|**|**|*PICO RIVERA*|*CA*|*United States*|*90660*|**|**|**|**|**|**|**|*
All Day Fun & Play Preschool & Child Care Center*|*B20260297033*|*07/13/2026*|*CALIFORNIA*|*Terminated*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|*2026-07-15 16:39:51.707*|**|*Jan  1 1900 12:00AM*|*2220 PENNSYLVANIA AVE*|**|*FAIRFIELD*|*CA*|*United States*|*94533*|*P.O. BOX 1581*|**|**|*SUISUN CITY*|*CA*|*United States*|*94585*|**|**|**|**|**|**|**|*
Anchored Journey Residential Services LLC*|*B20260304601*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5421 E CREEK CT*|**|*ANTIOCH*|*CA*|*United States*|*94531*|*5421 E CREEK CT*|**|**|*ANTIOCH*|*CA*|*United States*|*94531*|**|**|**|**|**|**|*One Manager*|*
ANorevon LLC*|*B20260297060*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6319 WESTCHESTER PKWY*|**|*LOS ANGELES*|*CA*|*United States*|*90045*|*6319 WESTCHESTER PKWY*|**|**|*LOS ANGELES*|*CA*|*United States*|*90045*|**|**|**|**|**|**|*One Manager*|*
Apurva Ventures LLC*|*B20260291009*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*19530 CARNEGIE DRIVE*|**|*REDDING*|*CA*|*United States*|*96003*|*19530 CARNEGIE DRIVE*|**|**|*REDDING*|*CA*|*United States*|*96003*|**|**|**|**|**|**|**|*
Arahet Group Inc*|*B20260299459*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10046 SAMOA AVE*|*414*|*TUJUNGA*|*CA*|*United States*|*91042*|*10046 SAMOA AVE*|*414*|**|*TUJUNGA*|*CA*|*United States*|*91042*|**|**|**|**|**|**|**|*
Attuned Family Counseling Professional Corporation*|*B20260295916*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261466679*|*Jul 17 2026 11:54AM*|*3225 MCLEOD DRIVE*|*SUITE 100*|*LAS VEGAS*|*NV*|*United States*|*89121*|*3225 MCLEOD DRIVE*|*SUITE 100*|**|*LAS VEGAS*|*NV*|*United States*|*89121*|**|**|**|**|**|**|**|*Marriage and Family Therapy
Austin Urgent Care Center, LLC*|*B20260275882*|*07/13/2026*|*TEXAS*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3571 FAR WEST BLVD*|**|*AUSTIN*|*TX*|*United States*|*78731*|*3571 FAR WEST BLVD*|**|**|*AUSTIN*|*TX*|*United States*|*78731*|*4079 GOVERNOR DRIVE #500*|**|*SAN DIEGO*|*CA*|*United States*|*92122*|**|*
Avaron LLC*|*B20260298400*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*960 GAYLEY AVE*|**|*LOS ANGELES*|*CA*|*United States*|*90024*|*960 GAYLEY AVE*|**|**|*LOS ANGELES*|*CA*|*United States*|*90024*|**|**|**|**|**|**|*One Manager*|*
AvC Farm Solutions Inc*|*B20260303206*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*322 MERGANSER DR*|*59*|*SUISUN*|*CA*|*United States*|*94585*|*322 MERGANSER DR*|*59*|**|*SUISUN*|*CA*|*United States*|*94585*|**|**|**|**|**|**|**|*
AW Premier Services*|*B20260295317*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9520 PADGETT STREET*|*STE 218*|*SAN DIEGO*|*CA*|*United States*|*92126*|*9520 PADGETT STREET*|*STE 218*|**|*SAN DIEGO*|*CA*|*United States*|*92126*|**|**|**|**|**|**|**|*
BioRevolution Inc.*|*B20260282849*|*07/13/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*103 LOWELL ST*|**|*REDWOOD CITY*|*CA*|*United States*|*94062*|*103 LOWELL ST*|**|**|*REDWOOD CITY*|*CA*|*United States*|*94062*|**|**|**|**|**|**|**|*
Bracket Capital Growth Partners III, LP*|*B20260305197*|*07/13/2026*|*DELAWARE*|*Active*|*Good*|*Limited Partnership - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8560 WEST SUNSET BOULEVARD*|*SUITE 700*|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8560 WEST SUNSET BOULEVARD*|*SUITE 700*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8 THE GREEN*|*SUITE A*|*DOVER*|*DE*|*United States*|*19901*|**|*
