Account #	Business Name	Start Date	Expire Date	Address
20509315	101 MOBILITY	7/1/2025	6/30/2027	1731 ADRIAN RD STE 9, BURLINGAME, CA 94010-2109
20510000	1120 BROADWAY, LLC	10/28/2024	6/30/2027	1120 BROADWAY, BURLINGAME, CA 94010-3422
20501122	1199 HOWARD LLC	7/1/2010	6/30/2027	330 PRIMROSE RD # 606, BURLINGAME, CA 94010-4032
20501289	1202 HAIR STUDIO (GINA A GIUSTI)	11/5/2010	6/30/2026	1202 CAPUCHINO AVE, BURLINGAME, CA 94010-3404
20504964	1202 HAIR STUDIO - HAIR BY MARINA	2/1/2022	6/30/2027	1202 CAPUCHINO, BURLINGAME, CA 94010
20506247	1418 BELLEVUE AVE APTS.	7/1/2008	6/30/2027	--ON FILE--
20503173	1440 CHAPIN OWNER LLC	4/23/2018	6/30/2027	235 MONTGOMERY ST STE 1202, SAN FRANCISCO, CA 94104-3103
20500814	1501 ADRIAN RD. LLC	7/1/2016	6/30/2027	1501 ADRIAN RD, BURLINGAME, CA 94010-2102
20504692	1799 BUILDING-GELLER & PREINER	7/1/2018	6/30/2026	1799 BAYSHORE HWY # 100, BURLINGAME, CA 94010-1306
20502233	1815 OGDEN DRIVE APTS	7/1/2011	6/30/2027	--ON FILE--
20500982	1860 EL CAMINO REAL LLC	7/1/2010	6/30/2027	1860 EL CAMINO REAL, BURLINGAME, CA 94010-3127
20502237	1900 TROUSDALE DR APTS	7/1/2011	6/30/2027	1900 TROUSDALE DR, BURLINGAME, CA 94010-5387
20508934	1ST LIGHT SALES CORP	3/15/2025	6/30/2027	1869 MOFFAT BLVD, MANTECA, CA 95336-8944
20503841	2001 SECURITY SYSTEMS & ELECTRICAL WORKS	4/14/2005	6/30/2027	4529 HOUNDSHAVEN WAY, SAN JOSE, CA 95111-3708
20500977	226 KITCHEN, INC.	7/6/2020	6/30/2027	226 LORTON AVE, BURLINGAME, CA 94010-4204
20501218	232 PARK ROAD	7/1/2010	6/30/2027	--ON FILE--
20500581	24/7 ROOTER & PLUMBING SERVICES INC	5/29/2013	6/30/2027	1070 QUESADA AVE, SAN FRANCISCO, CA 94124-3418
20508603	2715 HILLSIDE	10/12/2024	6/30/2027	--ON FILE--
20508932	2MM CONTRACTORS INC	3/10/2025	6/30/2027	1133 EL CAMINO REAL # 2, BURLINGAME, CA 94010-4955
20501854	3 J & Z INC.	12/16/2020	6/30/2027	286 GATEWAY DR, PACIFICA, CA 94044-1203
20506276	3PRONG INC.	7/1/2022	6/30/2027	1375 BURLINGAME AVE L2, BURLINGAME, CA 94010
20508048	3SERG HOME BUILDER, INC	3/4/2024	6/30/2026	--ON FILE--
20506940	4 WINDS INVESTMENT	12/1/2022	6/30/2027	1041 PALOMA AVE, BURLINGAME, CA 94010-3653
20510028	415 ROOFING CORP	5/18/2026	6/30/2026	2111 LANE ST 24231, SAN FRANCISCO, CA 94124-9098
20501785	4LEAF, INC.	8/16/2010	6/30/2027	2126 RHEEM DR, PLEASANTON, CA 94588-2775
20506380	5 STARS NAIL SPA	10/11/2019	6/30/2027	1800 MAGNOLIA AVE, BURLINGAME, CA 94010-4502
20506248	55 BACKFLOW TESTING & SERVICE	7/1/2015	6/30/2027	--ON FILE--
20507063	5S CONSTRUCTION INC.	3/15/2023	6/30/2026	1578 ALLEN CT, CASTRO VALLEY, CA 94546-6801
20509298	7 DAY ATTORNEYS, APC	3/5/2025	6/30/2027	533 N AIRPORT BLVD # 400, BURLINGAME, CA 94010-2028
