License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code
358480,ACTIVE,13,02/10/2000,01/31/2027,ALLIED LOMAR INC,"330 PRIMROSE RD, STE 512,BURLINGAME, CA  94010Census Tract:  6055.00",INTERNATIONAL BEVERAGE,4103
462557,ACTIVE,17,08/19/2009,07/31/2027,MOONRIDGE VINEYARD LLC,"120 W SANTA INEZ AVE,HILLSBOROUGH, CA  94010-6859Census Tract:  6058.00",MOONRIDGE VINEYARD,4106
473362,ACTIVE,17,02/27/2009,01/31/2027,PRIME CELLAR LLC,"1870 EL CAMINO REAL, STE 100,BURLINGAME, CA  94010-3128Census Tract:  6050.00",PRIME CELLAR,4103
522421,ACTIVE,13,08/16/2012,07/31/2027,"CAMPEON SPIRITS COMPANY, INC.","1199 HOWARD AVENUE, SUITE 300,BURLINGAME, CA  94010-4240Census Tract:  6055.00",,4103
522905,ACTIVE,17,08/29/2012,07/31/2027,LEGACY THROUGH GIVING FOUNDATION,"1321 N CAROLAN AVE,BURLINGAME, CA  94010-2401Census Tract:  6051.00",,4103
523401,ACTIVE,13,11/05/2012,01/31/2027,ALLIED LOMAR INC,"1594 ROLLINS RD,BURLINGAME, CA  94010-2317Census Tract:  6051.00",INTERNATIONAL BEVERAGE,4103
525034,ACTIVE,17,12/12/2012,07/31/2027,DANLIES INC,"383 BEACH RD,BURLINGAME, CA  94010-2005Census Tract:  6054.00",DANLIES INC,4103
532586,ACTIVE,02,07/09/2013,06/30/2027,THIRTY-ONE PRODUCTION LLC,"1870 EL CAMINO REAL, STE. 100, ROOM A,BURLINGAME, CA  94010-3128Census Tract:  6050.00",THIRTY- ONE PRODUCTION,4103
532586,ACTIVE,17,07/09/2013,06/30/2027,THIRTY-ONE PRODUCTION LLC,"1870 EL CAMINO REAL, STE. 100, ROOM A,BURLINGAME, CA  94010-3128Census Tract:  6050.00",THIRTY- ONE PRODUCTION,4103
560213,ACTIVE,09,10/12/2015,09/30/2026,"EURO DRINK IMPORTER, LLC","533 AIRPORT BLVD, #503,BURLINGAME, CA  94010-2015Census Tract:  6054.00",EURO DRINK IMPORTER LLC,4103
560213,ACTIVE,17,10/12/2015,09/30/2026,"EURO DRINK IMPORTER, LLC","533 AIRPORT BLVD, #503,BURLINGAME, CA  94010-2015Census Tract:  6054.00",EURO DRINK IMPORTER LLC,4103
578160,ACTIVE,18,03/06/2017,02/28/2027,SPECTER WHISKEY COMPANY LLC,"330 PRIMROSE RD, #202,BURLINGAME, CA  94010-4026Census Tract:  6055.00",SPECTER WHISKEY COMPANY,4103
591083,ACTIVE,10,06/25/2018,05/31/2027,CHOYA UMESHU USA INC,"533 AIRPORT BLVD, STE 216,BURLINGAME, CA  94010-2027Census Tract:  6054.00",,4103
591083,ACTIVE,05,06/25/2018,05/31/2027,CHOYA UMESHU USA INC,"533 AIRPORT BLVD, STE 216,BURLINGAME, CA  94010-2027Census Tract:  6054.00",,4103
591083,ACTIVE,12,06/25/2018,05/31/2027,CHOYA UMESHU USA INC,"533 AIRPORT BLVD, STE 216,BURLINGAME, CA  94010-2027Census Tract:  6054.00",,4103
599267,ACTIVE,02,08/22/2019,06/30/2027,AMARI CELLARS LLC,"1790 FOREST VIEW AVE,HILLSBOROUGH, CA  94010-6377Census Tract:  6056.00",AMARI CELLARS LLC,4106
662788,ACTIVE,17,11/18/2024,10/31/2026,ONTRAIL VINEYARDS LLC,"501 EL CERRITO AVE,HILLSBOROUGH, CA  94010-6821Census Tract:  6057.00",ONTRAIL VINEYARDS,4106
670605,ACTIVE,17,09/29/2025,08/31/2026,T & E PROPERTIES LLC,"507 HELEN DR,MILLBRAE, CA  94030-1619Census Tract:  6047.00",ELBA ISLAND IMPORTS,4108
670605,ACTIVE,09,09/29/2025,08/31/2026,T & E PROPERTIES LLC,"507 HELEN DR,MILLBRAE, CA  94030-1619Census Tract:  6047.00",ELBA ISLAND IMPORTS,4108
