License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code
4693,ACTIVE,51,01/03/1989,03/31/2027,BURLINGAME COUNTRY CLUB,"80 NEW PLACE RD,HILLSBOROUGH, CA  94010Census Tract:  6056.00",BURLINGAME COUNTRY CLUB,4106
9451,ACTIVE,51,11/13/1947,01/31/2027,PENINSULA TENNIS CLUB,"433 CHATHAM RD,BURLINGAME, CA  94010Census Tract:  6054.00",PENINSULA TENNIS CLUB,4103
23826,ACTIVE,42,07/02/1979,06/30/2027,WEIMAX CORPORATION,"1178 BROADWAY,BURLINGAME, CA  94010Census Tract:  6051.00",WEIMAX WINES & SPIRITS,4103
24768,ACTIVE,57,07/13/1949,08/31/2027,GREEN HILLS COUNTRY CLUB,"LUDEMAN LN END OF,MILLBRAE, CA  94030Census Tract:  6048.00",GREEN HILLS COUNTRY CLUB,4108
34802,ACTIVE,50,02/09/1938,02/28/2027,HILLSBOROUGH RACQUET CLUB,"252 EL CERRITO AVE,HILLSBOROUGH, CA  94010Census Tract:  6057.00",,4106
98247,ACTIVE,41,12/29/1980,07/31/2027,"AZAR, BASIM","245 CALIFORNIA DR,BURLINGAME, CA  94010Census Tract:  6055.02",CHRISTIES RESTAURANT,4103
122599,ACTIVE,51,10/02/1982,09/30/2026,THE LIONS CLUB OF BURLINGAME,"990 BURLINGAME AVE,BURLINGAME, CA  94010Census Tract:  6054.00",LIONS CLUB OF BURLINGAME,4103
122599,ACTIVE,58,10/02/1982,09/30/2026,THE LIONS CLUB OF BURLINGAME,"990 BURLINGAME AVE,BURLINGAME, CA  94010Census Tract:  6054.00",LIONS CLUB OF BURLINGAME,4103
162817,ACTIVE,41,12/21/1984,07/31/2027,"ANEZINOS, FANAGIOTIS KOSTAS","1567 EL CAMINO REAL,MILLBRAE, CA  94030-1213Census Tract:  6039.00",ZORBAS PIZZA,4108
168015,ACTIVE,41,02/26/1985,05/31/2027,BELISA CORPORATION,"1201 BROADWAY,BURLINGAME, CA  94010-3423Census Tract:  6051.00",VILLAGE HOST PIZZA,4103
177095,ACTIVE,48,10/01/1985,12/31/2026,BEHANS AN IRISH PUB,"1327 BROADWAY,BURLINGAME, CA  94010Census Tract:  6051.00",BEHANS AN IRISH PUB,4103
208074,ACTIVE,41,10/30/1987,04/30/2027,"BARRANTI, LEONARD","510 BROADWAY,MILLBRAE, CA  94030Census Tract:  6039.00",LEANARDOS ITALIAN CAFE & DELI,4108
220571,ACTIVE,58,09/08/1988,01/31/2027,HYATT CORPORATION,"1333 BAYSHORE HWY,BURLINGAME, CA  94010Census Tract:  6051.00",HYATT REGENCY SAN FRANCISCO AIRPORT,4103
220571,ACTIVE,47,09/08/1988,01/31/2027,HYATT CORPORATION,"1333 BAYSHORE HWY,BURLINGAME, CA  94010Census Tract:  6051.00",HYATT REGENCY SAN FRANCISCO AIRPORT,4103
282993,ACTIVE,41,06/22/1993,05/31/2027,KENS HOUSE OF PANCAKES OF MILLBRAE,"10 EL CAMINO REAL,MILLBRAE, CA  94030Census Tract:  6039.00",PETERS CAFE,4108
285276,ACTIVE,41,07/16/1993,06/30/2027,"KIKUCHI, RYO","407 BROADWAY,MILLBRAE, CA  94030Census Tract:  6039.00",SASHI KEI,4108
291717,ACTIVE,68,04/22/1994,03/31/2027,FIT TEXAS INVESTMENT CORPORATION,"835 AIRPORT BLVD,BURLINGAME, CA  94010Census Tract:  6054.00",DOUBLETREE HOTEL,4103
291717,ACTIVE,47,04/22/1994,03/31/2027,FIT TEXAS INVESTMENT CORPORATION,"835 AIRPORT BLVD,BURLINGAME, CA  94010Census Tract:  6054.00",DOUBLETREE HOTEL,4103
292872,ACTIVE,68,03/03/1994,04/30/2027,HARBOR VIEW HOTELS INC,"600 AIRPORT BLVD,BURLINGAME, CA  94010Census Tract:  6054.00",HILTON SAN FRANCISCO AIRPORT,4103
292872,ACTIVE,47,03/03/1994,04/30/2027,HARBOR VIEW HOTELS INC,"600 AIRPORT BLVD,BURLINGAME, CA  94010Census Tract:  6054.00",HILTON SAN FRANCISCO AIRPORT,4103
295225,ACTIVE,41,06/28/1994,05/31/2027,YOSIZONO JAPANESE CUISINE CORP,"1101 HOWARD AVE,BURLINGAME, CA  94010Census Tract:  6055.02",TOMOKAZU JAPANESE CUISINE RESTAURANT,4103
305575,ACTIVE,41,05/25/1995,04/30/2027,"KHUU, PHON SUI","170 EL CAMINO REAL,MILLBRAE, CA  94030-2606Census Tract:  6039.00",LA PETITE CAMILE,4108
305806,ACTIVE,48,05/01/1995,04/30/2027,"FLYNN, PATRICK","246 LORTON AVE,BURLINGAME, CA  94010Census Tract:  6055.02",PADDY FLYNNS BAR,4103
327289,ACTIVE,47,02/25/1997,02/28/2027,FIDDLERS AIRES INC,"333 EL CAMINO REAL,MILLBRAE, CA  94030Census Tract:  6039.00",FIDDLERS GREEN IRISH PUB,4108
327289,ACTIVE,77,02/25/1997,02/28/2027,FIDDLERS AIRES INC,"333 EL CAMINO REAL,MILLBRAE, CA  94030Census Tract:  6039.00",FIDDLERS GREEN IRISH PUB,4108
327289,ACTIVE,58,02/25/1997,02/28/2027,FIDDLERS AIRES INC,"333 EL CAMINO REAL,MILLBRAE, CA  94030Census Tract:  6039.00",FIDDLERS GREEN IRISH PUB,4108
333583,ACTIVE,41,12/26/1997,08/31/2027,PRIME TIME ATHLETIC CLUB INC,"1730 ROLLINS RD,BURLINGAME, CA  94010Census Tract:  6044.00",PRIME TIME ATHLETIC CLUB,4103
340626,ACTIVE,47,05/19/1998,05/31/2027,THE AMERICAN BULL BAR AND GRILL INC,"1817-19 EL CAMINO REAL,BURLINGAME, CA  94010Census Tract:  6050.00",THE AMERICAN BULL BAR & GRILL,4103
342774,ACTIVE,47,08/10/1998,12/31/2026,LA COLLINA INC,"355 EL CAMINO REAL,MILLBRAE, CA  94030Census Tract:  6044.00",LA COLLINA,4108
348765,ACTIVE,86,03/09/1999,06/30/2027,ALBECO INC,"1477 CHAPIN AVE,BURLINGAME, CA  94010Census Tract:  6055.01",MOLLIE STONES MARKET 6,4103
351581,ACTIVE,41,04/07/1999,04/30/2027,2001 THAI STICK INC,"301 EL CAMINO REAL,MILLBRAE, CA  94030-2609Census Tract:  6039.00",THAI STICK,4108
366971,ACTIVE,47,12/27/2000,11/30/2026,TIANMAR INC,"1316 BROADWAY,BURLINGAME, CA  94010Census Tract:  6051.00",BROADWAY PRIME RIB,4103
366971,ACTIVE,58,12/27/2000,11/30/2026,TIANMAR INC,"1316 BROADWAY,BURLINGAME, CA  94010Census Tract:  6051.00",BROADWAY PRIME RIB,4103
370226,ACTIVE,41,12/04/2000,11/30/2026,"HIZY, JOHN GARY","352 BROADWAY,MILLBRAE, CA  94030Census Tract:  6044.00",O SOLE MIO RESTAURANT,4108
374419,ACTIVE,47,11/05/2001,02/28/2027,MAMME INC,"1447 BURLINGAME AVE,BURLINGAME, CA  94010-4110Census Tract:  6055.02",SAPORE ITALIANO RISTORANTE,4103
